(1, 0.020123)
(2, 0.035837)
(3, 0.022777)
(4, 0.016069)
(5, 0.017283)
(6, 0.016293)
(7, 0.021319)
(8, 0.023954)
(9, 0.028064)
(10, 0.029652)
(11, 0.033165)
(12, 0.039107)
(13, 0.043386)
(14, 0.042078)
(15, 0.044114)
(16, 0.044021)
(17, 0.043909)
(18, 0.040602)
(19, 0.035034)
(20, 0.033950)
(21, 0.032194)
(22, 0.027522)
(23, 0.025280)
(24, 0.022664)
(25, 0.020179)
(26, 0.017919)
(27, 0.015490)
(28, 0.012799)
(29, 0.010277)
(30, 0.009809)
(31, 0.007922)
(32, 0.007081)
(33, 0.006521)
(34, 0.006241)
(35, 0.005400)
(36, 0.004484)
(37, 0.004391)
(38, 0.003550)
(39, 0.002728)
(40, 0.002242)
(41, 0.001756)
(42, 0.001271)
(43, 0.001065)
(44, 0.001158)
(45, 0.000990)
(46, 0.000803)
(47, 0.000467)
(48, 0.000747)
(49, 0.000561)
