(1, 0.046132)
(2, 0.043703)
(3, 0.023505)
(4, 0.015209)
(5, 0.009473)
(6, 0.007567)
(7, 0.007081)
(8, 0.005923)
(9, 0.005064)
(10, 0.005624)
(11, 0.005661)
(12, 0.005811)
(13, 0.004148)
(14, 0.004148)
(15, 0.004092)
(16, 0.003793)
(17, 0.002859)
(18, 0.002971)
(19, 0.002560)
(20, 0.001962)
(21, 0.002410)
(22, 0.001850)
(23, 0.002074)
(24, 0.001401)
(25, 0.001345)
(26, 0.001084)
(27, 0.000355)
(28, 0.000355)
(29, 0.000299)
(30, 0.000785)
(31, 0.000374)
(32, 0.000075)
(33, 0.000710)
(34, 0.000392)
(35, 0.000112)
(36, 0.000262)
(37, 0.000224)
(38, -0.000243)
(39, -0.000075)
(40, 0.000000)
(41, -0.000224)
(42, 0.000075)
(43, 0.000131)
(44, 0.000355)
(45, 0.000243)
(46, 0.000019)
(47, -0.000280)
(48, -0.000243)
(49, -0.000318)
