(1, 0.032567)
(2, 0.085669)
(3, 0.125149)
(4, 0.154559)
(5, 0.175990)
(6, 0.188920)
(7, 0.196450)
(8, 0.200785)
(9, 0.202616)
(10, 0.200093)
(11, 0.193685)
(12, 0.184529)
(13, 0.174832)
(14, 0.162649)
(15, 0.150374)
(16, 0.136996)
(17, 0.121712)
(18, 0.109118)
(19, 0.096002)
(20, 0.083371)
(21, 0.073076)
(22, 0.063602)
(23, 0.055138)
(24, 0.047870)
(25, 0.040527)
(26, 0.034398)
(27, 0.029316)
(28, 0.025355)
(29, 0.022011)
(30, 0.019432)
(31, 0.017209)
(32, 0.015714)
(33, 0.014051)
(34, 0.012724)
(35, 0.011622)
(36, 0.010893)
(37, 0.010351)
(38, 0.009585)
(39, 0.008894)
(40, 0.008389)
(41, 0.008240)
(42, 0.007885)
(43, 0.007773)
(44, 0.008090)
(45, 0.008128)
(46, 0.008203)
(47, 0.008277)
(48, 0.008352)
(49, 0.008408)
