(1, 0.020703)
(2, 0.065901)
(3, 0.105531)
(4, 0.133389)
(5, 0.151999)
(6, 0.164387)
(7, 0.170609)
(8, 0.171562)
(9, 0.169208)
(10, 0.163546)
(11, 0.155493)
(12, 0.143703)
(13, 0.130680)
(14, 0.115919)
(15, 0.097590)
(16, 0.081054)
(17, 0.061715)
(18, 0.044955)
(19, 0.029372)
(20, 0.014873)
(21, 0.000673)
(22, -0.011753)
(23, -0.023337)
(24, -0.034473)
(25, -0.044600)
(26, -0.052691)
(27, -0.059286)
(28, -0.065153)
(29, -0.070852)
(30, -0.075037)
(31, -0.077952)
(32, -0.080362)
(33, -0.082194)
(34, -0.083856)
(35, -0.085239)
(36, -0.086173)
(37, -0.087014)
(38, -0.087500)
(39, -0.087911)
(40, -0.088229)
(41, -0.088770)
(42, -0.088789)
(43, -0.089051)
(44, -0.089387)
(45, -0.089873)
(46, -0.090340)
(47, -0.090938)
(48, -0.091312)
(49, -0.091685)
