(1, 0.039406)
(2, 0.087762)
(3, 0.117489)
(4, 0.140882)
(5, 0.158539)
(6, 0.173561)
(7, 0.188042)
(8, 0.199795)
(9, 0.210127)
(10, 0.221861)
(11, 0.232792)
(12, 0.244208)
(13, 0.253345)
(14, 0.261921)
(15, 0.269824)
(16, 0.275916)
(17, 0.281241)
(18, 0.286342)
(19, 0.290527)
(20, 0.293834)
(21, 0.296749)
(22, 0.299608)
(23, 0.301682)
(24, 0.303924)
(25, 0.305045)
(26, 0.305904)
(27, 0.307268)
(28, 0.308296)
(29, 0.308707)
(30, 0.309212)
(31, 0.309866)
(32, 0.310277)
(33, 0.310538)
(34, 0.310538)
(35, 0.310258)
(36, 0.310015)
(37, 0.310015)
(38, 0.310052)
(39, 0.310202)
(40, 0.310258)
(41, 0.310258)
(42, 0.310221)
(43, 0.310239)
(44, 0.310258)
(45, 0.309884)
(46, 0.310071)
(47, 0.310071)
(48, 0.310445)
(49, 0.310968)
