(1, 0.026308)
(2, 0.045198)
(3, 0.031166)
(4, 0.021749)
(5, 0.014630)
(6, 0.007960)
(7, 0.004933)
(8, 0.003924)
(9, 0.002522)
(10, 0.000224)
(11, -0.000878)
(12, -0.002037)
(13, -0.003999)
(14, -0.003214)
(15, -0.003363)
(16, -0.003307)
(17, -0.004933)
(18, -0.003531)
(19, -0.003812)
(20, -0.004241)
(21, -0.003942)
(22, -0.002840)
(23, -0.001943)
(24, -0.001663)
(25, -0.001607)
(26, -0.000859)
(27, -0.001046)
(28, -0.001214)
(29, -0.000318)
(30, -0.000654)
(31, -0.001009)
(32, -0.001569)
(33, -0.001046)
(34, -0.001215)
(35, -0.001271)
(36, -0.001215)
(37, -0.000953)
(38, -0.000710)
(39, -0.000411)
(40, -0.001046)
(41, -0.000486)
(42, -0.000355)
(43, -0.000430)
(44, -0.000617)
(45, -0.000262)
(46, -0.000131)
(47, 0.000019)
(48, -0.000037)
(49, 0.000019)
