(1, 0.032567)
(2, 0.053102)
(3, 0.039481)
(4, 0.029410)
(5, 0.021431)
(6, 0.012930)
(7, 0.007530)
(8, 0.004335)
(9, 0.001831)
(10, -0.002522)
(11, -0.006409)
(12, -0.009155)
(13, -0.009697)
(14, -0.012182)
(15, -0.012276)
(16, -0.013378)
(17, -0.015284)
(18, -0.012593)
(19, -0.013117)
(20, -0.012631)
(21, -0.010295)
(22, -0.009473)
(23, -0.008464)
(24, -0.007268)
(25, -0.007343)
(26, -0.006129)
(27, -0.005082)
(28, -0.003961)
(29, -0.003345)
(30, -0.002578)
(31, -0.002223)
(32, -0.001495)
(33, -0.001663)
(34, -0.001327)
(35, -0.001102)
(36, -0.000729)
(37, -0.000542)
(38, -0.000766)
(39, -0.000691)
(40, -0.000504)
(41, -0.000149)
(42, -0.000355)
(43, -0.000112)
(44, 0.000318)
(45, 0.000037)
(46, 0.000075)
(47, 0.000075)
(48, 0.000075)
(49, 0.000056)
