(1, 0.026233)
(2, 0.038976)
(3, 0.022384)
(4, 0.011921)
(5, 0.006465)
(6, 0.001158)
(7, -0.002280)
(8, -0.004634)
(9, -0.005568)
(10, -0.006951)
(11, -0.007474)
(12, -0.008539)
(13, -0.009361)
(14, -0.010277)
(15, -0.008184)
(16, -0.010800)
(17, -0.010463)
(18, -0.008726)
(19, -0.009809)
(20, -0.008651)
(21, -0.009006)
(22, -0.007623)
(23, -0.008184)
(24, -0.006652)
(25, -0.005774)
(26, -0.005400)
(27, -0.005138)
(28, -0.004914)
(29, -0.004914)
(30, -0.003756)
(31, -0.003569)
(32, -0.003569)
(33, -0.003064)
(34, -0.003120)
(35, -0.003289)
(36, -0.002859)
(37, -0.002280)
(38, -0.001775)
(39, -0.001812)
(40, -0.001626)
(41, -0.000710)
(42, -0.001028)
(43, -0.001065)
(44, -0.000803)
(45, -0.000691)
(46, -0.000654)
(47, -0.000766)
(48, -0.000598)
(49, -0.000617)
