(1, 0.046132)
(2, 0.089836)
(3, 0.113341)
(4, 0.128550)
(5, 0.138023)
(6, 0.145590)
(7, 0.152672)
(8, 0.158595)
(9, 0.163658)
(10, 0.169282)
(11, 0.174944)
(12, 0.180755)
(13, 0.184903)
(14, 0.189051)
(15, 0.193143)
(16, 0.196936)
(17, 0.199794)
(18, 0.202765)
(19, 0.205325)
(20, 0.207287)
(21, 0.209697)
(22, 0.211547)
(23, 0.213621)
(24, 0.215022)
(25, 0.216368)
(26, 0.217451)
(27, 0.217806)
(28, 0.218161)
(29, 0.218460)
(30, 0.219245)
(31, 0.219619)
(32, 0.219693)
(33, 0.220404)
(34, 0.220796)
(35, 0.220908)
(36, 0.221170)
(37, 0.221394)
(38, 0.221151)
(39, 0.221076)
(40, 0.221076)
(41, 0.220852)
(42, 0.220927)
(43, 0.221058)
(44, 0.221413)
(45, 0.221655)
(46, 0.221674)
(47, 0.221394)
(48, 0.221151)
(49, 0.220833)
