(1, 0.024533)
(2, 0.053905)
(3, 0.039032)
(4, 0.029279)
(5, 0.021244)
(6, 0.014462)
(7, 0.009230)
(8, 0.004148)
(9, 0.002877)
(10, -0.001177)
(11, -0.004484)
(12, -0.005923)
(13, -0.008184)
(14, -0.011435)
(15, -0.010183)
(16, -0.012463)
(17, -0.010127)
(18, -0.009809)
(19, -0.009847)
(20, -0.009324)
(21, -0.008501)
(22, -0.008259)
(23, -0.006409)
(24, -0.006465)
(25, -0.004690)
(26, -0.005045)
(27, -0.003849)
(28, -0.003718)
(29, -0.003774)
(30, -0.002747)
(31, -0.001943)
(32, -0.001775)
(33, -0.001495)
(34, -0.001233)
(35, -0.001121)
(36, -0.000430)
(37, -0.001140)
(38, -0.000411)
(39, -0.000747)
(40, -0.000598)
(41, -0.000336)
(42, -0.000093)
(43, 0.000112)
(44, 0.000037)
(45, -0.000299)
(46, 0.000056)
(47, -0.000037)
(48, 0.000224)
(49, 0.000392)
