(1, 0.026308)
(2, 0.071506)
(3, 0.102672)
(4, 0.124421)
(5, 0.139051)
(6, 0.147010)
(7, 0.151943)
(8, 0.155867)
(9, 0.158389)
(10, 0.158614)
(11, 0.157735)
(12, 0.155699)
(13, 0.151700)
(14, 0.148486)
(15, 0.145123)
(16, 0.141816)
(17, 0.136883)
(18, 0.133352)
(19, 0.129540)
(20, 0.125299)
(21, 0.121356)
(22, 0.118516)
(23, 0.116573)
(24, 0.114910)
(25, 0.113303)
(26, 0.112444)
(27, 0.111398)
(28, 0.110183)
(29, 0.109865)
(30, 0.109211)
(31, 0.108202)
(32, 0.106633)
(33, 0.105587)
(34, 0.104372)
(35, 0.103102)
(36, 0.101887)
(37, 0.100934)
(38, 0.100224)
(39, 0.099813)
(40, 0.098767)
(41, 0.098281)
(42, 0.097926)
(43, 0.097496)
(44, 0.096880)
(45, 0.096618)
(46, 0.096487)
(47, 0.096506)
(48, 0.096469)
(49, 0.096487)
