(1, 0.034081)
(2, 0.077223)
(3, 0.104484)
(4, 0.124514)
(5, 0.139424)
(6, 0.151140)
(7, 0.164443)
(8, 0.175131)
(9, 0.183950)
(10, 0.194058)
(11, 0.204036)
(12, 0.214051)
(13, 0.221506)
(14, 0.228513)
(15, 0.235239)
(16, 0.241050)
(17, 0.246095)
(18, 0.251140)
(19, 0.255605)
(20, 0.258744)
(21, 0.261491)
(22, 0.263061)
(23, 0.264630)
(24, 0.265807)
(25, 0.267601)
(26, 0.268797)
(27, 0.270105)
(28, 0.270964)
(29, 0.271375)
(30, 0.271992)
(31, 0.272646)
(32, 0.272833)
(33, 0.273318)
(34, 0.273487)
(35, 0.273879)
(36, 0.273748)
(37, 0.273748)
(38, 0.273617)
(39, 0.273879)
(40, 0.274159)
(41, 0.274159)
(42, 0.274122)
(43, 0.274084)
(44, 0.274047)
(45, 0.273954)
(46, 0.274197)
(47, 0.274253)
(48, 0.274570)
(49, 0.274701)
