(1, 0.020703)
(2, 0.045198)
(3, 0.039630)
(4, 0.027859)
(5, 0.018610)
(6, 0.012388)
(7, 0.006222)
(8, 0.000953)
(9, -0.002354)
(10, -0.005661)
(11, -0.008053)
(12, -0.011790)
(13, -0.013023)
(14, -0.014761)
(15, -0.018330)
(16, -0.016536)
(17, -0.019339)
(18, -0.016760)
(19, -0.015583)
(20, -0.014499)
(21, -0.014200)
(22, -0.012425)
(23, -0.011584)
(24, -0.011136)
(25, -0.010127)
(26, -0.008090)
(27, -0.006596)
(28, -0.005867)
(29, -0.005699)
(30, -0.004185)
(31, -0.002915)
(32, -0.002410)
(33, -0.001831)
(34, -0.001663)
(35, -0.001383)
(36, -0.000934)
(37, -0.000841)
(38, -0.000486)
(39, -0.000411)
(40, -0.000318)
(41, -0.000542)
(42, -0.000019)
(43, -0.000262)
(44, -0.000336)
(45, -0.000486)
(46, -0.000467)
(47, -0.000598)
(48, -0.000374)
(49, -0.000374)
