(1, 0.026233)
(2, 0.065209)
(3, 0.087593)
(4, 0.099514)
(5, 0.105979)
(6, 0.107138)
(7, 0.104858)
(8, 0.100224)
(9, 0.094656)
(10, 0.087706)
(11, 0.080232)
(12, 0.071693)
(13, 0.062332)
(14, 0.052055)
(15, 0.043871)
(16, 0.033072)
(17, 0.022608)
(18, 0.013883)
(19, 0.004073)
(20, -0.004578)
(21, -0.013584)
(22, -0.021207)
(23, -0.029391)
(24, -0.036043)
(25, -0.041816)
(26, -0.047216)
(27, -0.052354)
(28, -0.057268)
(29, -0.062182)
(30, -0.065938)
(31, -0.069507)
(32, -0.073076)
(33, -0.076140)
(34, -0.079260)
(35, -0.082549)
(36, -0.085407)
(37, -0.087687)
(38, -0.089462)
(39, -0.091274)
(40, -0.092900)
(41, -0.093610)
(42, -0.094637)
(43, -0.095703)
(44, -0.096506)
(45, -0.097197)
(46, -0.097851)
(47, -0.098617)
(48, -0.099215)
(49, -0.099832)
